名称,地址,经纬度
润亿教育（魔法阅读绘本馆）,北京市朝阳区安立路60-7号,"116.405732,39.996039"
小优成长书房,天龙苑小区14号楼底商-9,"116.354124,40.083612"
卢卡智能绘本馆,北京市朝阳区北四环东路108号华堂新辰汇F3,"116.420775,39.987979"
孺子牛绘本馆,北京市昌平区城南中心小学东门,"116.209837,40.217190"
艾力学堂分级阅读,北京市朝阳区亚运村漂亮购物中心,"116.406562,39.993464"
童心童阅主题阅读成长中心,北京市朝阳区安立路68号飘亮购物中心三层办公室D区D370号,"116.456048,39.914222"
安妮花阅读馆北京华创馆,北京市朝阳区林萃路林萃西里16号楼华创生活广场F3,"116.372557,40.010217"
森兰美育（Polly speak）,北京市朝阳区汇中广场3层306,"116.413900,40.032295"
麦珂秀英文桌游（亚运村校区）,北京市朝阳区小营北路51号4号楼臻园科技2层209号,"116.422855,40.001189"
优学星益铭瑞智成长中心,北京市昌平区史各庄街道朱辛庄南区3号底商,"116.308466,40.099549"
乔励少儿英语启蒙,天通苑北二区南门,"116.413150,40.083552"
青提阅读,北京市昌平区回龙观街道龙域北街8号院1号楼（龙域国际中心B座）1至2层210,"116.314004,40.066644"
普林教育,北京市朝阳区林萃路倚林佳园24号楼2层、大屯路风林绿洲16号楼底商,"116.385559,40.001721"
Grace英语工作室,通广嘉园,"116.629435,39.890049"
爱成长学习空间,昌平区回龙观龙跃苑一区文化东路22号1层南侧商业区,"116.350606,40.072936"
新语教育,北京市昌平区科星西路美唐花园综合楼6号楼702室,"116.358386,40.079963"
快乐青苗双语阅读馆,北京市朝阳区林萃西里16号楼华创生活广场F3,"116.372557,40.010217"
知子英语,西城区马连道中里一区12号楼,"116.329615,39.886460"
红领巾教育辅导补习,北京市朝阳区安立路68号B3-703室,"116.409078,39.997926"
安妮花阅读馆,通州区怡乐中路李老社区商业中心3层3001,"116.635692,39.891105"
汤姆之家儿童成长中心,北京市昌平区昌盛路6号办公楼2层,"116.251225,40.210683"
美森诺柯少儿英语（京贸校区）,通州区怡乐中路299号院京贸国际公馆1号楼102,"116.635011,39.884586"
悦读阅美,北京市昌平区黄土村路龙博苑,"116.339593,40.069019"
